ID, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1207,1.875409144,1.517060182,1.226427805,1.022663168,0.309512013,1.124849778,0.048229531,0.414657103,0.281390483,0.428109167,0.397349195,0.38647679,0.018415442,0.394071845,1.063787497,1.649748309,0.817154187,70066,60744,53262,20536,13048,34510,1076,9744,4282,26106,42884,13482,4484,12402,26944,36558,7908,39278
1035,1.493435647,0.871159661,3.167309547,0.673833496,1.167175627,2.298148908,0.548985663,0.868346041,0.360027696,0.212294884,1.109855979,0.265408276,0.810900945,0.157352232,2.401728902,1.161181492,0.156770609,57356,12936,49638,8790,36916,53400,3580,13892,2550,2636,45138,2078,2744,3198,42608,41680,16668,10852
1182,1.587285319,2.03474787,1.538442527,1.774641664,0.186107313,0.542999004,0.06522934,0.305788915,0.260539219,0.47296847,0.834838588,0.711114946,0.247905299,0.313099237,1.489694878,1.699985397,0.480569311,80238,68956,27214,44146,9408,12172,916,4692,3624,10824,53454,7814,5612,13616,40470,50676,25518,13048
1176,1.929124339,2.261552527,1.703943996,1.379424757,0.040928512,0.635002133,0.062778303,0.664189522,0.212815948,0.555846639,2.047614835,1.469390821,0.327719796,0.534378118,1.645154381,2.285880389,0.749939917,81784,55200,34198,47820,530,11436,676,2618,274,13932,96172,27138,26190,18998,18086,81208,22462,38384
1185,0.849379473,0.885906466,1.442803829,0.95366855,0.123272128,0.089190835,0.543294413,0.867078154,0.292905524,0.913517263,1.55796924,1.724494978,0.019869429,0.289887633,0.750962335,1.564058694,0.445448211,26840,34260,44922,3574,1062,2452,1186,1886,240,27190,44166,49716,5696,19758,10068,18796,12934,13882
1328,0.242904132,0.41243221,1.148841757,0.107931207,1.014159848,0.449412555,0.723157641,1.37131789,0.954364822,1.035231849,0.742297633,0.205098676,0.757349378,0.425030686,1.548886883,0.556087044,1.677529282,18474,18064,19218,3332,58954,36340,26128,89900,47654,89868,81238,9378,69654,55222,44274,16340,454,41666
1310,0.686134969,0.663603703,0.945249596,0.330801851,0.341778711,0.398767194,0.307800883,1.01183188,0.45466968,0.77379055,0.540363793,0.595171887,1.045765364,0.321783877,1.188289958,1.011898612,1.189186525,34248,20408,30260,14572,20860,7806,5284,34962,21810,41984,59968,21090,72444,45168,36938,41052,11710,51336
1319,0.158265696,0.218619863,1.108628995,0.081560502,1.107180365,0.202207192,0.440736587,0.641503995,0.522156678,0.957462329,1.241396975,0.701724886,1.598686644,0.630432078,2.084425228,0.873016553,2.01890782,1022,1420,722,1122,37598,1024,1216,41638,17044,62530,53790,20024,69142,55284,57692,26956,16,39656
1170,1.816684309,1.605205895,1.340973641,1.481589041,0.738586758,1.717829182,0.093128269,0.953047945,0.49699917,0.888163761,1.50265961,0.590213159,0.041503113,0.404138439,1.996938979,1.93023433,0.383844334,77616,75204,39240,45490,34530,55694,844,6758,1546,6996,68508,10484,3100,21192,39120,56680,14258,5120
1177,2.204343793,2.572460776,0.719428296,1.003446188,0.005458849,0.19908643,0.001371594,0.374220204,0.107410405,1.426771814,1.338895679,0.215769061,0.12767575,0.254267547,2.00489678,1.919199284,1.37716185,66136,70574,1338,21886,138,252,72,0,48,10960,58808,2354,1760,2740,47898,28738,4044,28852
1112,1.231067883,1.292061041,1.565537091,0.868029108,0.550049962,1.258689693,0.141840773,0.877166287,0.401008798,1.607975236,1.205838818,0.284869773,0.02642055,0.066521342,2.58097882,3.64328272,0.695218204,82026,71896,26142,2720,18762,33332,124,13734,140,57264,88716,6072,3038,1148,49482,83644,3338,10214
